time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1684076719974000000,1.543000244140625,0,0,1.6434346437454224,13.557999610900879,0,0,357.6000061035156,11.0426185,49.4184125
1684076725310000000,6.879000244140625,0,0,1.098026990890503,15.607000350952148,0.5797170400619507,253.2904815673828,357.5,11.0425868,49.4184063
1684076726710143000,8.27914306640625,0,0,1.1334632635116577,16.054000854492188,0.1478426605463028,197.73672485351562,357.5,11.0425904,49.4183999
1684076727710398500,9.2793984375,0,0,1.1392741203308105,17.392000198364258,0.16678841412067413,197.81175231933594,357.5,11.0425843,49.4183966
1684076728728380700,10.297380615234376,0,0,1.1345561742782593,18.729000091552734,0.1971743106842041,197.2484893798828,357.5,11.0425808,49.4183925
1684076730041000000,11.61,0,0,1.2911759614944458,18.486000061035156,0.12290924787521362,183.57154846191406,357.6000061035156,11.0425885,49.418395
1684076730276362200,11.8453623046875,0,0,1.2911003828048706,18.1200008392334,0.11478748917579651,160.29066467285156,357.6000061035156,11.0425955,49.4183957
1684076731261946400,12.8309462890625,0,0.21927478909492493,1.3031857013702393,16.170000076293945,0.6608466506004333,163.71627807617188,357.6000061035156,11.0426108,49.4183653
1684076732283021300,13.852021240234375,0,0.2962980568408966,1.3131660223007202,14.602999687194824,0.825737714767456,164.44598388671875,357.6000061035156,11.042616,49.4183524
1684076733272135000,14.841135009765624,0,0.22115133702754974,1.322911262512207,12.78499984741211,0.7659401893615723,167.81163024902344,357.6000061035156,11.0426154,49.4183471
1684076734271353900,15.840353759765625,0,0.26745620369911194,1.3335120677947998,10.967000007629395,0.6576804518699646,171.42015075683594,357.6000061035156,11.0426141,49.418344
1684076735041000000,16.61,0,0.26745620369911194,1.7398121356964111,10.543000221252441,0.5476968884468079,173.88621520996094,357.5,11.0426129,49.4183433
1684076735291576300,16.860576416015626,0,0.2276362180709839,1.761476755142212,8,0.46542251110076904,178.96591186523438,357.5,11.0426105,49.4183448
1684076736264784100,17.8337841796875,0,0.15073320269584656,1.7508783340454102,8,0.3632526993751526,196.94174194335938,357.5,11.0426045,49.4183448
1684076737268485400,18.8374853515625,0,0.15630210936069489,1.7952957153320312,8,0.3411758840084076,212.4091339111328,357.5,11.0425969,49.4183447
1684076738271233000,19.84023291015625,0,0.11050248891115189,1.8052889108657837,8,0.29285839200019836,235.1812744140625,357.5,11.0425925,49.4183446
1684076739264537600,20.83353759765625,0,0.1776585429906845,1.8014637231826782,8,0.29560092091560364,250.0939178466797,357.5,11.0425882,49.4183443
1684076740105000000,21.674,0,0.1776585429906845,2.6248672008514404,9.821000099182129,0.25084981322288513,252.11561584472656,357.5,11.042586,49.4183439
1684076740295017000,21.864016845703127,0,20,2.6348652839660645,9.821000099182129,0.45299866795539856,260.67822265625,357.5,11.0425802,49.4183439
1684076741272795100,22.841795166015626,0,20,2.651899576187134,9.821000099182129,0.6097244024276733,273.3233947753906,357.5,11.0425698,49.4183451
1684076742276242200,23.8452421875,0,20,2.64583420753479,9.821000099182129,0.7737843990325928,290.4884948730469,357.5,11.0425582,49.4183496
1684076743262368300,24.8313681640625,0,20,2.6678626537323,9.5600004196167,1.0945059061050415,318.30657958984375,357.5,11.0425482,49.4183616
1684076744266795800,25.835795654296874,0,20,2.6834042072296143,9.821000099182129,1.6894503831863403,338.5387878417969,357.5,11.0425411,49.4183822
1684076745187000000,26.756,0,20,2.5471720695495605,9.993000030517578,1.4724997282028198,339.995849609375,357.6000061035156,11.0425362,49.418392
1684076745273351200,26.84235107421875,0,20,2.5471720695495605,9.708000183105469,2.0819616317749023,351.4814758300781,357.6000061035156,11.0425406,49.4184044
1684076746266670300,27.83567041015625,0,20,2.560502052307129,9.708000183105469,2.649599313735962,2.8602259159088135,357.6000061035156,11.0425481,49.418433
1684076747271886800,28.840886962890625,0,20,2.5727694034576416,9.708000183105469,3.0962278842926025,7.293737411499023,357.6000061035156,11.042557,49.4184644
1684076748276498000,29.845497802734375,3.181281566619873,0.28776854276657104,2.5862064361572266,9.993000030517578,4.1158366203308105,353.0104064941406,357.6000061035156,11.042555,49.418499
1684076749276772000,30.845772216796874,1.510202407836914,0.022537091746926308,2.597519636154175,9.993000030517578,4.664484977722168,354.9991455078125,357.6000061035156,11.0425507,49.4185384
1684076750293858600,31.862858642578125,2.4744510650634766,0.4385625720024109,2.608508825302124,8,5.123126983642578,354.9970397949219,357.6000061035156,11.0425412,49.4185821
1684076751037000000,32.606,2.4744510650634766,0.4385625720024109,2.318251848220825,9.609999656677246,5.119968414306641,354.9941711425781,357.6000061035156,11.0425368,49.4186108
1684076751309869300,32.87886938476562,4.613803863525391,0.4651826322078705,2.326638698577881,9.609999656677246,6.072977542877197,356.9799499511719,357.6000061035156,11.0425338,49.4186286
1684076752300611300,33.869611328125,1.5733662843704224,0.016355248168110847,2.3518762588500977,9.609999656677246,6.6607842445373535,357.99884033203125,357.6000061035156,11.0425336,49.4186899
1684076753312744700,34.88174462890625,1.7202990055084229,0.016282295808196068,2.3675262928009033,9.609999656677246,7.186166286468506,351.01507568359375,357.6000061035156,11.0425301,49.4187604
1684076754306496300,35.875496337890624,1,0.07717642188072205,2.376164674758911,9.276000022888184,7.329253196716309,347.0030212402344,357.6000061035156,11.0425057,49.4188301
1684076755323579600,36.89257958984375,1,0.017272697761654854,2.387521982192993,8.942999839782715,7.711047172546387,345.001953125,357.6000061035156,11.0424748,49.418898
