time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1686154175533206000,2.8892060546875,0,0.12806248664855957,16.51439094543457,21.440000534057617,0,0,342.1000061035156,11.0230329,49.5721851
1686154176536095000,3.892094970703125,0,0.10000000149011612,16.5244197845459,19.29599952697754,0.09268812835216522,0,342.1000061035156,11.0230503,49.5721734
1686154177533152500,4.889152587890625,0,0.10000000149011612,16.53438949584961,17.865999221801758,0.3626641631126404,154.98077392578125,342.1000061035156,11.023057,49.5721617
1686154178529355300,5.885355224609375,0,0.10000000149011612,16.54435157775879,16.347999572753906,0.7154259085655212,134.2608184814453,342.1000061035156,11.023075,49.5721539
1686154179538510800,6.8945107421875,0,0.0860232561826706,16.554443359375,15.008000373840332,0.7999442219734192,130.76255798339844,342.1000061035156,11.023086,49.5721487
1686154180533904000,7.88990380859375,0,0.10000000149011612,16.56439781188965,12.64900016784668,0.547075629234314,154.27304077148438,342.1000061035156,11.0230786,49.5721448
1686154181532556500,8.888556640625,0,0.0860232561826706,16.574382781982422,11.970000267028809,0.5094226598739624,197.04034423828125,342.1000061035156,11.0230637,49.5721406
1686154182537065500,9.8930654296875,0,0.16278821229934692,16.584428787231445,9.432999610900879,0.5132411122322083,202.12940979003906,342.1000061035156,11.0230594,49.5721366
1686154183533562400,10.889562255859374,0,0.11313708126544952,6,7.932000160217285,0.4268973767757416,210.7725067138672,336,11.0230554,49.572136
1686154184530068000,11.88606787109375,0,0.0860232561826706,6,7.324999809265137,0.36249253153800964,192.72755432128906,337,11.0230593,49.5721332
1686154185530359800,12.88635986328125,0,0.0860232561826706,6,6.367000102996826,0.3244478106498718,199.27557373046875,337,11.0230568,49.5721315
1686154186530593800,13.88659375,0,0.0860232561826706,4,5.408999919891357,0.2616426646709442,204.83543395996094,337,11.0230552,49.5721309
1686154187534279000,14.89027880859375,1.5643351078033447,0.9912618398666382,4,4.630000114440918,0.2242124229669571,165.9723663330078,338,11.0230541,49.5721307
1686154188546136300,15.90213623046875,0,0.0860232561826706,4,3.9769999980926514,0.1926928609609604,163.8924102783203,342,11.0230535,49.5721316
1686154189533058600,16.88905859375,0,0.0860232561826706,4,3.9000000953674316,0.1271935999393463,174.41744995117188,344,11.0230479,49.5721332
1686154190531494400,17.887494384765624,0,0.0860232561826706,4,3.9000000953674316,0.12606075406074524,206.7525634765625,346,11.0230426,49.5721326
1686154191529852700,18.885852783203124,0,0.0860232561826706,4,3.9000000953674316,0.1061309278011322,223.1485137939453,347,11.0230409,49.5721329
1686154192536984600,19.892984619140623,0,0.0860232561826706,4,3.9000000953674316,0.08409074693918228,0,348,11.0230418,49.5721323
1686154193541438700,20.897438720703125,0,0.0860232561826706,4,3.9000000953674316,0.08040406554937363,0,349,11.02304,49.5721324
1686154194533597700,21.88959765625,0,0.0860232561826706,3,3.9000000953674316,0.09777043014764786,0,349,11.0230374,49.5721329
1686154195535222800,22.891222900390623,0,0.0860232561826706,3,3.9000000953674316,0.06716181337833405,0,350,11.0230376,49.572134
1686154196536378000,23.892378173828124,0,0.0860232561826706,4,3.9000000953674316,0.031062103807926178,0,350,11.0230389,49.5721343
1686154197531070500,24.887070556640627,0,0.0860232561826706,3,3.9000000953674316,0.06207713484764099,0,350,11.0230385,49.5721357
1686154198539733000,25.89573291015625,0,0.0860232561826706,3,3.9000000953674316,0.09486602246761322,0,350,11.0230373,49.5721371
1686154199534090800,26.8900908203125,0,0.0860232561826706,3,3.9000000953674316,0.111103355884552,331.30035400390625,350,11.0230361,49.5721383
1686154200531605800,27.887605712890625,0,0.0860232561826706,3,3.9000000953674316,0.1060318574309349,333.5819091796875,350,11.0230357,49.5721391
1686154201533685800,28.889685791015626,0,0.0860232561826706,4,3.9000000953674316,0.08631101995706558,0,350,11.0230356,49.5721394
1686154202543269400,29.899269287109377,0,0.0860232561826706,3,3.9000000953674316,0.06236359104514122,0,350,11.0230356,49.5721393
1686154203537516300,30.893516357421873,0,0.0860232561826706,3,3.9000000953674316,0.03936953470110893,0,350,11.0230362,49.5721393
1686154204547153000,31.90315283203125,0,0.0860232561826706,3,3.9000000953674316,0.027882197871804237,0,350,11.0230368,49.572139
1686154205533541400,32.88954125976562,0,0.0860232561826706,4,3.9000000953674316,0.006205243524163961,0,350,11.0230366,49.5721387
1686154206530023200,33.88602319335938,0,0.0860232561826706,4,3.9000000953674316,0.026508672162890434,0,350,11.0230363,49.5721384
1686154207536686800,34.89268676757813,0,0.8628441095352173,4,3.9000000953674316,0.07209629565477371,0,349,11.0230347,49.5721386
1686154208531168000,35.88716796875,0,0.0860232561826706,4,3.9000000953674316,0.17789588868618011,322.5257263183594,349,11.0230328,49.5721408
1686154209540068000,36.89606811523438,0,0.0860232561826706,4,3.9000000953674316,0.1387801170349121,50.1413459777832,349,11.0230365,49.5721412
1686154210536775000,37.89277490234375,0,0.0860232561826706,4,3.9000000953674316,0.6563060879707336,109.41373443603516,350,11.0230503,49.5721372
1686154211537514800,38.8935146484375,0,0.0860232561826706,4,3.9000000953674316,0.6395394802093506,107.13813781738281,350,11.0230587,49.5721357
1686154212539171600,39.89517163085937,0,0.0860232561826706,4,3.9000000953674316,0.5591705441474915,98.71458435058594,350,11.0230658,49.5721357
1686154213541904100,40.897904052734376,0,0.0860232561826706,4,3.9000000953674316,0.3546723425388336,89.2515640258789,350,11.0230687,49.5721363
1686154214546681000,41.90268115234375,0,0.8628441095352173,4,3.9000000953674316,0.16521061956882477,88.9793930053711,350,11.0230691,49.5721363
1686154215536355600,42.89235546875,0,0.0860232561826706,4,3.9000000953674316,0.1516139954328537,15.36199951171875,350,11.0230684,49.5721386
1686154216535278800,43.89127880859375,0,0.9847842454910278,4,3.9000000953674316,0.15300191938877106,344.9736633300781,350,11.023067,49.5721399
1686154217538504000,44.89450390625,0,0.1140175461769104,4,3.9000000953674316,0.2019161880016327,23.689746856689453,349,11.0230694,49.5721418
1686154218542040800,45.898040771484375,0,0.0860232561826706,4,3.9000000953674316,0.06979933381080627,0,349,11.0230695,49.5721415
1686154219543753200,46.899753173828124,0,0.10000000149011612,4,3.9000000953674316,0.048642080277204514,0,349,11.0230679,49.572141
1686154220532670000,47.888669921875,0,0.0860232561826706,6,3.9000000953674316,0.15945938229560852,224.2576446533203,349,11.0230657,49.5721393
1686154221534507000,48.89050708007812,0,0.16970562934875488,6,3.9000000953674316,0.28942403197288513,232.46331787109375,349,11.0230613,49.5721372
1686154222537399600,49.89339965820312,0,0.0860232561826706,4,3.9000000953674316,0.3069695234298706,240.3814697265625,350,11.0230572,49.572136
1686154223536163000,50.8921630859375,0,0.0860232561826706,4,3.9000000953674316,0.2827562689781189,236.50250244140625,350,11.0230543,49.5721346
1686154224531057400,51.88705737304687,0,0.0860232561826706,4,3.9000000953674316,0.2588208019733429,248.32290649414062,349,11.0230509,49.5721342
1686154224757000000,52.113,0,0.0860232561826706,9.430298805236816,3.9560000896453857,0.22851572930812836,250.17359924316406,346.29998779296875,11.0230506,49.5721342
1686154225537274400,52.8932744140625,0,0.0860232561826706,9.438101768493652,3.9560000896453857,0.23302842676639557,260.9023132324219,346.29998779296875,11.023048,49.5721342
1686154226537276400,53.8932763671875,0,0.0860232561826706,9.448101997375488,3.9560000896453857,0.2575744688510895,256.3697509765625,346.29998779296875,11.0230443,49.5721335
1686154227533702400,54.88970239257812,0,0.0860232561826706,9.4580659866333,3.947999954223633,0.2278195321559906,243.9733428955078,346.29998779296875,11.0230419,49.5721323
1686154228534228700,55.89022875976563,0,0.0860232561826706,9.468070983886719,3.947999954223633,0.17763115465641022,240.04501342773438,346.29998779296875,11.0230403,49.5721316
1686154229533795600,56.889795654296876,0,0.0860232561826706,9.478066444396973,3.9560000896453857,0.08837109059095383,0,346.29998779296875,11.0230401,49.5721314
1686154230533498400,57.88949829101563,0,0.0860232561826706,9.48806381225586,3.9000000953674316,0.032510578632354736,0,346.29998779296875,11.0230402,49.5721314
1686154231532584000,58.888583984375,0,0.0860232561826706,9.498054504394531,3.9000000953674316,0.01536073349416256,0,346.29998779296875,11.0230402,49.5721314
1686154232539690200,59.895690185546876,0,0.0860232561826706,9.508125305175781,3.9000000953674316,0.005528673529624939,0,346.29998779296875,11.0230403,49.5721314
1686154233533660200,60.88966015625,0,0.0860232561826706,9.518065452575684,3.7860000133514404,0.0015348162269219756,0,346.29998779296875,11.0230403,49.5721314
1686154234533322000,61.889322021484375,0,0.0860232561826706,9.528061866760254,3.8499999046325684,0.00635273614898324,0,346.29998779296875,11.0230403,49.5721315
1686154235537562000,62.89356201171875,0,0.12727922201156616,9.538104057312012,3.9179999828338623,0.004691374488174915,0,346.29998779296875,11.0230403,49.5721315
1686154236538217200,63.89421728515625,0,0.0860232561826706,9.548110961914062,3.996000051498413,0.003154239384457469,0,346.29998779296875,11.0230403,49.5721315
1686154237533176000,64.88917602539063,0,0.09899494796991348,9.558060646057129,3.9800000190734863,0.0021232799626886845,0,346.29998779296875,11.0230403,49.5721315
1686154238537165000,65.8931650390625,0,0.0860232561826706,9.568100929260254,4.131999969482422,0.0035226389300078154,0,346.29998779296875,11.0230403,49.5721316
1686154239537954300,66.89395434570312,1.640995740890503,0.9709789156913757,9.578108787536621,4.054999828338623,0.14420315623283386,125.9329833984375,346.29998779296875,11.0230433,49.5721306
1686154240536719000,67.89271899414062,0,0.0860232561826706,9.588095664978027,4.0289998054504395,0.15277551114559174,127.2151870727539,346.29998779296875,11.0230458,49.5721283
1686154241536040700,68.89204077148437,0,0.0860232561826706,9.598089218139648,3.9639999866485596,0.19593475759029388,124.3023681640625,346.29998779296875,11.0230513,49.5721261
1686154242537141800,69.89314184570313,0,0.0860232561826706,9.608099937438965,3.9000000953674316,0.1637725830078125,125.53659057617188,346.29998779296875,11.0230517,49.5721258
1686154243533958000,70.8899580078125,0,0.0860232561826706,9.61806869506836,3.9000000953674316,0.0953904241323471,0,346.29998779296875,11.0230511,49.5721275
1686154244538312700,71.89431274414062,0,0.0860232561826706,9.628111839294434,3.9000000953674316,0.09562578797340393,0,346.29998779296875,11.0230526,49.5721287
1686154244770000000,72.12599975585937,0,0.0860232561826706,12.377603530883789,5.625999927520752,0.09574063867330551,0,346.29998779296875,11.0230529,49.5721288
1686154245537460500,72.89346044921875,1.203224539756775,0.9349331259727478,12.38527774810791,5.625999927520752,0.42531460523605347,101.8709945678711,346.29998779296875,11.0230582,49.5721285
1686154246541893400,73.89789331054688,0,0.09219544380903244,12.395322799682617,5.690000057220459,0.4307904839515686,101.74215698242188,346.29998779296875,11.0230648,49.5721274
1686154247537372700,74.89337255859375,0,0.11313708126544952,12.405277252197266,5.755000114440918,0.40133288502693176,102.43592071533203,346.29998779296875,11.0230681,49.5721268
1686154248540208400,75.89620849609375,0,0.07810249924659729,12.415306091308594,5.820000171661377,0.3838651478290558,103.27640533447266,346.29998779296875,11.0230723,49.5721259
1686154249541925600,76.89792553710937,0,0.1345362365245819,12.425322532653809,5.883999824523926,0.28532707691192627,105.28296661376953,346.29998779296875,11.0230721,49.5721256
1686154250543566600,77.89956665039062,0,0.0860232561826706,12.435338973999023,4.210000038146973,0.26232224702835083,99.9749984741211,346.29998779296875,11.023075,49.572126
1686154251540169500,78.89616943359376,0,0.12806248664855957,12.445304870605469,4.1579999923706055,0.26050248742103577,98.67102813720703,346.29998779296875,11.0230785,49.5721258
1686154252541133800,79.8971337890625,0,0.2692582309246063,12.455314636230469,4.054999828338623,0.22434373199939728,93.50492858886719,346.29998779296875,11.0230804,49.5721263
1686154253540009500,80.89600952148437,0,0.09433981031179428,12.465303421020508,4.0289998054504395,0.10738921910524368,54.932945251464844,346.29998779296875,11.0230766,49.5721286
1686154254537585700,81.89358569335937,0,0.18867962062358856,12.475279808044434,3.9639999866485596,0.10012312233448029,34.249080657958984,346.29998779296875,11.0230762,49.5721299
1686154255542352600,82.8983525390625,0,0.18384777009487152,12.485326766967773,3.9000000953674316,0.10974349081516266,33.095279693603516,346.29998779296875,11.0230772,49.5721309
1686154256540856800,83.89685693359375,0,0.35805028676986694,12.495311737060547,3.9000000953674316,0.11774031817913055,44.59098815917969,346.29998779296875,11.0230792,49.5721315
1686154257542572500,84.89857250976563,0,0.1984943300485611,12.505329132080078,3.9000000953674316,0.10572841018438339,42.61993408203125,346.29998779296875,11.0230798,49.572132
1686154258539946200,85.8959462890625,0,0.0860232561826706,12.515302658081055,3.9000000953674316,0.0966220572590828,0,346.29998779296875,11.0230812,49.5721319
1686154259542413800,86.89841381835937,0,0.0860232561826706,12.525327682495117,3.9000000953674316,0.08366439491510391,0,346.29998779296875,11.0230823,49.5721315
1686154260535018000,87.89101806640625,0,0.0860232561826706,12.535253524780273,3.9000000953674316,0.06956417113542557,0,346.29998779296875,11.0230828,49.5721312
1686154261538546000,88.8945458984375,0,0.10000000149011612,12.545289039611816,3.9000000953674316,0.05344054475426674,0,346.29998779296875,11.023083,49.572131
1686154262538077200,89.8940771484375,0,0.0860232561826706,12.55528450012207,3.9000000953674316,0.03859260305762291,0,346.29998779296875,11.023083,49.5721309
1686154263538638800,90.89463891601562,0,0.13601469993591309,12.565289497375488,3.9000000953674316,0.02649633027613163,0,346.29998779296875,11.0230829,49.5721308
1686154264535581000,91.89158081054687,0,0.1140175461769104,12.5752592086792,3.9000000953674316,0.020081061869859695,0,346.29998779296875,11.0230827,49.5721308
1686154265539123500,92.89512353515624,0,0.22671568393707275,12.585294723510742,3.9000000953674316,0.0033785586711019278,0,346.29998779296875,11.0230825,49.5721308
1686154266537408800,93.89340869140625,0,0.12206555902957916,12.595277786254883,3.9000000953674316,0.0013534602476283908,0,346.29998779296875,11.0230825,49.5721308
1686154267530035000,94.88603491210938,0,0.0860232561826706,12.605203628540039,3.9000000953674316,0.00040227375575341284,0,346.29998779296875,11.0230825,49.5721308
1686154268531215400,95.88721533203125,0,0.0860232561826706,12.615215301513672,3.9000000953674316,0.00008282474300358444,0,346.29998779296875,11.0230825,49.5721308
1686154269535014700,96.8910146484375,0,0.0860232561826706,12.625253677368164,3.9000000953674316,0.0035943619441241026,0,346.29998779296875,11.0230824,49.5721308
1686154270537863200,97.89386328125,0,0.0860232561826706,12.635282516479492,3.9000000953674316,0.0060095456428825855,0,346.29998779296875,11.0230824,49.5721309
1686154271533873400,98.88987329101562,0,0.0860232561826706,12.645242691040039,3.9000000953674316,0.0022624297998845577,0,346.29998779296875,11.0230824,49.5721308
1686154272540244200,99.896244140625,0,0.1063014566898346,12.655305862426758,3.9000000953674316,0.003855197224766016,0,346.29998779296875,11.0230825,49.5721308
1686154273535085800,100.8910859375,0,0.1140175461769104,12.665254592895508,3.9000000953674316,0.0024265407118946314,0,346.29998779296875,11.0230825,49.5721308
1686154274533365800,101.88936572265625,0,0.14212670922279358,12.675237655639648,3.9000000953674316,0.0045800963416695595,0,346.29998779296875,11.0230826,49.5721308
1686154275539353600,102.895353515625,0,0.13038404285907745,12.685297012329102,3.9000000953674316,0.0025879302993416786,0,346.29998779296875,11.0230826,49.5721308
1686154276545871000,103.90187109375,0,0.1345362365245819,12.695362091064453,3.9000000953674316,0.0010283999145030975,0,346.29998779296875,11.0230826,49.5721308
1686154277536475100,104.89247509765624,0,0.12041594833135605,12.705267906188965,3.9000000953674316,0.00031266710720956326,0,346.29998779296875,11.0230826,49.5721308
1686154278543774700,105.89977465820313,0,0.2140093445777893,12.715341567993164,3.9000000953674316,0.00006125965592218563,0,346.29998779296875,11.0230826,49.5721308
1686154279537184000,106.89318408203125,0,0.18601074814796448,12.725275039672852,3.9769999980926514,0.0000032669970551069127,0,346.29998779296875,11.0230826,49.5721308
1686154280541023000,107.89702294921875,0,0.3061045706272125,12.735313415527344,4.054999828338623,0.003585842903703451,0,346.29998779296875,11.0230827,49.5721308
1686154281540999700,108.89699975585937,0,0.50803542137146,12.74531364440918,4.093999862670898,0.008078491315245628,0,346.29998779296875,11.0230828,49.5721307
1686154282535314400,109.891314453125,0,0.3061045706272125,12.755256652832031,4.1579999923706055,0.004790389444679022,0,346.29998779296875,11.0230828,49.5721307
1686154283539101700,110.89510180664062,0,0.4161730408668518,12.765294075012207,4.2230000495910645,0.001960934605449438,0,346.29998779296875,11.0230828,49.5721307
1686154284533325300,111.8893251953125,0,0.24413111805915833,12.775237083435059,4.288000106811523,0.0006130293477326632,0,346.29998779296875,11.0230828,49.5721307
1686154285540278800,112.89627880859375,0,0.14212670922279358,12.785305976867676,4.288000106811523,0.00012796172813978046,0,346.29998779296875,11.0230828,49.5721307
1686154286538862300,113.8948623046875,0,0.22022715210914612,12.795291900634766,4.288000106811523,0.0035995058715343475,0,346.29998779296875,11.0230829,49.5721307
1686154287534953500,114.89095336914062,0,0.22022715210914612,12.805253028869629,4.466000080108643,0.0022967474069446325,0,346.29998779296875,11.0230829,49.5721307
1686154288535189800,115.89118969726563,0,0.2408318966627121,12.815255165100098,4.466000080108643,0.0009640807402320206,0,346.29998779296875,11.0230829,49.5721307
1686154289539267300,116.89526733398438,0,0.4060788154602051,12.825296401977539,4.501999855041504,0.00031015294371172786,0,346.29998779296875,11.0230829,49.5721307
1686154290538732500,117.89473266601563,0,0.48826223611831665,12.835290908813477,4.466000080108643,0.00006909984222147614,0,346.29998779296875,11.0230829,49.5721307
1686154291534702300,118.89070239257812,0,0.16401219367980957,12.845250129699707,4.466000080108643,0.0036095818504691124,0,346.29998779296875,11.023083,49.5721307
1686154292541331200,119.89733129882812,1.67055344581604,1.221187949180603,12.855317115783691,4.288000106811523,0.17926476895809174,47.745357513427734,346.29998779296875,11.0230969,49.5721344
1686154293539175400,120.89517553710938,0,0.39446166157722473,12.86529541015625,4.288000106811523,0.20082122087478638,50.80751037597656,346.29998779296875,11.0231081,49.5721372
1686154294534821400,121.8908212890625,0,0.10000000149011612,12.875251770019531,4.2230000495910645,0.6892048120498657,78.52671813964844,346.29998779296875,11.0231252,49.5721386
1686154295545960200,122.90196020507813,0,0.4701063632965088,12.885363578796387,4.131999969482422,0.5742840766906738,80.06251525878906,346.29998779296875,11.023132,49.5721392
1686154296544993000,123.90099291992188,0,0.0860232561826706,12.895353317260742,4.054999828338623,0.7086880803108215,282.66033935546875,346.29998779296875,11.0231096,49.572141
1686154297541593900,124.89759375,0,0.0860232561826706,12.905319213867188,3.9769999980926514,0.8454249501228333,277.6888732910156,346.29998779296875,11.0230965,49.5721417
1686154298536644400,125.89264428710938,0,0.0860232561826706,12.91526985168457,3.9639999866485596,1.071060061454773,280.532470703125,346.29998779296875,11.0230798,49.572144
1686154299535481000,126.89148120117187,0,0.0860232561826706,12.92525863647461,3.9000000953674316,0.9368413090705872,279.77093505859375,346.29998779296875,11.0230683,49.5721452
1686154300537136000,127.89313623046876,0,0.9486833214759827,12.935275077819824,3.9000000953674316,1.0497452020645142,275.29193115234375,346.29998779296875,11.0230525,49.5721456
1686154301542134500,128.89813452148437,0,0.0860232561826706,12.945324897766113,3.7860000133514404,0.9269442558288574,259.3947448730469,346.29998779296875,11.0230412,49.5721423
1686154302535822800,129.89182275390624,0,0.8628441095352173,12.955262184143066,3.7860000133514404,0.4901224374771118,229.9022216796875,346.29998779296875,11.0230415,49.5721385
1686154303540888000,130.89688818359375,0,0.0860232561826706,12.965312004089355,3.763000011444092,0.21847668290138245,262.9084167480469,346.29998779296875,11.0230401,49.5721402
1686154304536589000,131.89258911132814,0,0.09219544380903244,12.975269317626953,3.763000011444092,0.12926587462425232,220.74105834960938,346.29998779296875,11.0230403,49.5721389
1686154305536503800,132.89250390625,0,0.07810249924659729,12.985268592834473,3.7860000133514404,0.19175608456134796,182.0063018798828,346.29998779296875,11.023041,49.5721365
1686154306539665000,133.89566479492188,0,0.0860232561826706,12.99530029296875,3.7860000133514404,0.34532269835472107,121.4405288696289,346.29998779296875,11.0230482,49.572135
1686154307539346200,134.89534619140625,0,0.0860232561826706,13.00529670715332,3.9000000953674316,0.2824176847934723,109.47389221191406,346.29998779296875,11.0230516,49.5721347
1686154308541351200,135.89735107421876,0,0.8628441095352173,13.0153169631958,3.9000000953674316,0.03808458149433136,0,346.29998779296875,11.0230486,49.5721359
1686154309539470600,136.895470703125,0,0.0860232561826706,13.025298118591309,3.9000000953674316,0.06864020973443985,0,346.29998779296875,11.0230496,49.5721365
1686154312532738300,139.88873828125,0,0.0860232561826706,13.055231094360352,3.9000000953674316,0.19806715846061707,73.99798583984375,346.29998779296875,11.0230589,49.572138
1686154313540069600,140.89606958007812,0,0.8628441095352173,13.065303802490234,3.9000000953674316,0.1760934293270111,81.33650970458984,346.29998779296875,11.0230612,49.5721381
1686154314533427700,141.889427734375,0,0.0860232561826706,13.075238227844238,3.9000000953674316,0.18586917221546173,71.85623931884766,346.29998779296875,11.0230637,49.5721388
1686154315547104000,142.90310400390624,0,0.0860232561826706,13.08537483215332,3.9000000953674316,0.18775871396064758,67.80474853515625,346.29998779296875,11.0230661,49.5721396
1686154316547584000,143.903583984375,0,0.8628441095352173,13.095379829406738,3.9000000953674316,0.13854993879795074,29.58495330810547,346.29998779296875,11.023066,49.572141
1686154317540255700,144.896255859375,0,0.0860232561826706,13.105305671691895,3.9000000953674316,0.29085421562194824,279.9676513671875,346.29998779296875,11.0230584,49.572141
1686154318539165400,145.89516552734375,0,0.0860232561826706,13.11529541015625,3.9639999866485596,0.5505053400993347,269.925048828125,346.29998779296875,11.0230481,49.5721406
1686154319536519700,146.89251977539064,0,0.0860232561826706,13.125268936157227,4.054999828338623,0.4699971377849579,262.3385009765625,346.29998779296875,11.0230425,49.5721396
1686154320543468000,147.89946801757813,0,0.0860232561826706,13.135337829589844,4.093999862670898,0.3245476186275482,262.04510498046875,346.29998779296875,11.0230395,49.5721394
1686154321542790000,148.89878979492187,0,0.0860232561826706,13.145331382751465,4.1579999923706055,0.21547351777553558,263.1501159667969,346.29998779296875,11.0230376,49.5721393
1686154322538158600,149.89415869140626,0,0.0860232561826706,13.155284881591797,4.2230000495910645,0.1684943586587906,258.8407897949219,346.29998779296875,11.0230358,49.5721389
1686154323540280300,150.8962802734375,0,0.0860232561826706,13.165306091308594,4.288000106811523,0.203356072306633,247.37596130371094,346.29998779296875,11.023033,49.5721379
1686154324536359000,151.89235888671874,0,0.0860232561826706,13.175267219543457,4.2230000495910645,0.19107438623905182,240.08489990234375,346.29998779296875,11.0230309,49.5721369
1686154325539162000,152.895162109375,0,0.0860232561826706,13.185295104980469,4.1579999923706055,0.1877899169921875,268.3280029296875,346.29998779296875,11.0230281,49.5721375
1686154326540554000,153.89655395507813,0,0.0860232561826706,13.195308685302734,4.093999862670898,0.26886898279190063,282.6823425292969,346.29998779296875,11.0230237,49.5721384
1686154327538999300,154.89499926757813,0,0.0860232561826706,13.205293655395508,3.9769999980926514,0.2647940516471863,284.39617919921875,346.29998779296875,11.0230202,49.5721391
1686154328536262000,155.89226196289061,0,0.0860232561826706,13.215266227722168,3.9639999866485596,0.20573332905769348,287.4475402832031,346.29998779296875,11.0230181,49.5721396
1686154329540816400,156.89681640625,0,0.0860232561826706,13.225311279296875,3.9000000953674316,0.13536104559898376,295.3451843261719,346.29998779296875,11.0230171,49.5721401
1686154330536659500,157.89265942382812,0,0.0860232561826706,13.235270500183105,3.9000000953674316,0.07706871628761292,0,346.29998779296875,11.0230168,49.5721403
1686154331534389500,158.89038940429688,0,0.0860232561826706,13.245247840881348,3.9000000953674316,0.03724774345755577,0,346.29998779296875,11.0230168,49.5721404
1686154332539790000,159.8957900390625,0,0.0860232561826706,13.255301475524902,3.9000000953674316,0.019949546083807945,0,346.29998779296875,11.0230167,49.5721405
