time,seconds_elapsed,lux
1686154172658500600,0.01450048828125,128
1686154172900818000,0.25681787109375,132
1686154173219116300,0.5751162109375,135
1686154173279571700,0.63557177734375,132
1686154173340027000,0.69602685546875,137
1686154173460907000,0.816906982421875,135
1686154173521362400,0.877362548828125,132
1686154173779297000,1.135297119140625,135
1686154173839721700,1.1957216796875,132
1686154174081390600,1.437390625,128
1686154174339416600,1.69541650390625,125
1686154174641907000,1.997906982421875,128
1686154174702392600,2.058392578125,132
1686154174899872000,2.2558720703125,123
1686154174960296700,2.316296630859375,116
1686154175020782600,2.376782470703125,132
1686154175081421000,2.437421142578125,137
1686154175141876200,2.497876220703125,130
1686154175202362000,2.558362060546875,116
1686154175399750000,2.75575,114
1686154175460205000,2.816205078125,111
1686154175520630000,2.876630126953125,116
1686154175581359900,2.93735986328125,114
1686154175702209500,3.05820947265625,107
1686154175762634200,3.11863427734375,104
1686154175823059200,3.17905908203125,100
1686154176020355300,3.376355224609375,88
1686154176080780000,3.436780029296875,83
1686154176141205000,3.497205078125,81
1686154176201629700,3.557629638671875,83
1686154176262054700,3.6180546875,86
1686154176322479400,3.678479248046875,88
1686154176382904000,3.738904052734375,90
1686154176519779000,3.875779052734375,97
1686154176882327800,4.238327880859375,93
1686154177079624000,4.4356240234375,95
1686154177140048600,4.496048583984375,93
1686154177200443100,4.556443115234375,90
1686154177321323300,4.6773232421875,93
1686154177442142200,4.79814208984375,90
1686154177502567200,4.858567138671875,93
1686154177639407900,4.995407958984375,90
1686154177699832600,5.05583251953125,93
1686154177760257500,5.116257568359375,90
1686154177820682200,5.17668212890625,88
1686154177881107200,5.237107177734375,86
1686154177941532000,5.297531982421875,83
1686154178062412000,5.418412109375,86
1686154178199436000,5.55543603515625,97
1686154178562046000,5.9180458984375,95
1686154178759403000,6.115403076171875,97
1686154178940769000,6.29676904296875,102
1686154179061649200,6.417649169921875,104
1686154179122135000,6.478135009765625,107
1686154179182590200,6.538590087890625,109
1686154179319705900,6.675705810546875,114
1686154179440830000,6.796829833984375,116
1686154179501285400,6.857285400390625,121
1686154179622226400,6.978226318359375,118
1686154179682681900,7.038681884765625,121
1686154179880161000,7.2361611328125,123
1686154180243106600,7.5991064453125,125
1686154180803653400,8.1596533203125,123
1686154181364078300,8.720078369140625,121
1686154181424533500,8.780533447265626,114
1686154181561649200,8.917649169921875,67
1686154181622104300,8.978104248046876,65
1686154181682559700,9.038559814453125,60
1686154181803439900,9.15943994140625,65
1686154181984744700,9.34074462890625,67
1686154182121707800,9.477707763671875,102
1686154182182163000,9.538162841796876,107
1686154182242648800,9.59864892578125,111
1686154182303104300,9.659104248046875,121
1686154182363590100,9.719590087890625,123
1686154182424045300,9.78004541015625,128
1686154182484500700,9.840500732421875,132
1686154182544986600,9.900986572265625,130
1686154182682071600,10.038071533203125,132
1686154182863468000,10.219468017578125,135
1686154182984348200,10.34034814453125,132
1686154183044803300,10.40080322265625,135
1686154183105228300,10.461228271484375,132
1686154183484012300,10.84001220703125,135
1686154183544437200,10.900437255859375,137
1686154183665378300,11.02137841796875,135
1686154184165195300,11.5211953125,132
1686154184362735600,11.718735595703125,130
1686154184604434700,11.9604345703125,128
1686154185345615000,12.701614990234376,125
1686154185663730400,13.01973046875,128
1686154185784580000,13.140580078125,130
1686154185845004800,13.2010048828125,128
1686154186042301000,13.398301025390625,125
1686154186284000300,13.640000244140625,123
1686154186404880400,13.76088037109375,121
1686154186602254800,13.9582548828125,123
1686154186662710000,14.0187099609375,118
1686154186723135000,14.079135009765626,111
1686154186783559700,14.1395595703125,88
1686154186844015000,14.20001513671875,79
1686154186904439800,14.260439697265625,65
1686154186964895200,14.320895263671876,62
1686154187025320000,14.38131982421875,65
1686154187162282800,14.51828271484375,81
1686154187222707700,14.578707763671876,74
1686154187283132400,14.63913232421875,81
1686154187343587800,14.699587890625,104
1686154187404012500,14.760012451171875,102
1686154187464498400,14.82049853515625,104
1686154187524953900,14.880953857421876,109
1686154187585409000,14.941408935546875,111
1686154187722341400,15.07834130859375,118
1686154187843221500,15.199221435546875,123
1686154187964101600,15.3201015625,125
1686154188145406700,15.50140673828125,128
1686154188282430500,15.638430419921875,123
1686154188342886000,15.698885986328126,125
1686154188403341300,15.75934130859375,121
1686154188463766000,15.81976611328125,114
1686154188524221400,15.880221435546876,111
1686154188584646100,15.940646240234376,109
1686154188645070800,16.00107080078125,107
1686154188842367000,16.198366943359375,109
1686154188902761500,16.258761474609376,107
1686154188963186200,16.319186279296876,109
1686154189402151000,16.75815087890625,114
1686154189462606300,16.8186064453125,111
1686154189523031000,16.879031005859375,109
1686154189583486500,16.939486572265626,104
1686154189704336100,17.060336181640626,107
1686154189764760800,17.1207607421875,109
1686154189825185800,17.181185791015626,111
1686154189962026500,17.318026611328126,114
1686154190143300900,17.49930078125,121
1686154190203725800,17.559725830078126,123
1686154190264150500,17.620150634765626,125
1686154190324575200,17.6805751953125,128
1686154190385000200,17.741000244140626,130
1686154190521841000,17.8778408203125,137
1686154190582265900,17.938265869140626,135
1686154190703115300,18.059115234375,139
1686154190763540200,18.119540283203126,137
1686154190823965000,18.17996484375,142
1686154190944814600,18.300814697265626,146
1686154191081655300,18.4376552734375,144
1686154191142080300,18.498080322265626,142
1686154191444265200,18.80026513671875,144
1686154191504690200,18.860690185546876,146
1686154191641714000,18.9977138671875,142
1686154191702139000,19.058138916015626,137
1686154192004385000,19.360385009765626,132
1686154192064809700,19.420809814453126,130
1686154192201742000,19.5577421875,123
1686154192382955500,19.73895556640625,121
1686154192443410700,19.79941064453125,123
1686154192761678600,20.1176787109375,125
1686154192942983400,20.2989833984375,128
1686154193003408400,20.359408447265626,130
1686154193063833000,20.4198330078125,132
1686154193124288500,20.48028857421875,135
1686154193184713200,20.540713134765625,137
1686154193624288500,20.98028857421875,135
1686154193684713200,21.040713134765625,132
1686154193745138200,21.10113818359375,135
